artikelnummer;bestellnummer;uvp;rabatt;ek_netto;vk_netto;zuschlagskalkulation;kurzbezeichnung;lagerfaehig;lieferstatus;hd24_vk_brutto;hd24_lieferzeit
WO1669272;1669272;3XX,00 EUR;-3X,05%;1X,00 EUR;8X,00 EUR;13 XXXXX +13%;"WOLF Waermedaemmung fuer Schlammabscheider 2""";FALSCH;P;43,60; Sofort lieferbar, 2-4 Werktage
WO1669275;1669275;3XX,00 EUR;-3X,05%;1X,00 EUR;8X,00 EUR;13 XXXXX +13%;"WOLF Waermedaemmung fuer Mikroblasenabscheider 1""";FALSCH;P;43,60; Sofort lieferbar, 2-4 Werktage
